Passo,Conjunto S,a,b,c,d,e,f,g,h,i,j,k
0,a,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1,"a, k",0,2.0,8.0,inf,inf,inf,inf,inf,inf,inf,1.0
2,"a, k, b",0,2.0,7.0,inf,inf,9.0,inf,inf,inf,inf,1.0
3,"a, k, b, d",0,2.0,6.0,1.0,inf,9.0,inf,inf,inf,inf,1.0
4,"a, k, b, d, g",0,1.0,5.0,1.0,3.0,9.0,2.0,9.0,inf,inf,1.0
5,"a, k, b, d, g, e",0,1.0,5.0,1.0,3.0,9.0,2.0,7.0,inf,9.0,1.0
6,"a, k, b, d, g, e, c",0,1.0,1.0,1.0,3.0,4.0,2.0,6.0,inf,9.0,1.0
7,"a, k, b, d, g, e, c, f",0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,inf,9.0,1.0
8,"a, k, b, d, g, e, c, f, i",0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,9.0,1.0
9,"a, k, b, d, g, e, c, f, i, h",0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0
10,"a, k, b, d, g, e, c, f, i, h, j",0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
